sep=;
Type;FSWP-26;
Version;1.90SP1;
Date;18.Apr 2023;
Mode;ANALYZER;
Preamplifier;OFF;
Transducer;OFF;
Center Freq;10000000000.000000;Hz
Freq Offset;0.000000;Hz
Start;0.000000;Hz
Stop;20000000000.000000;Hz
Span;20000000000.000000;Hz
Ref Level;-20.000000;dBm
Level Offset;0.000000;dB
Rf Att;0.000000;dB
El Att;0.000000;dB
RBW;300000.000000;Hz
VBW;300000.000000;Hz
SWT;0.060000;s
Sweep Count;0;
Window;1;Frequency Sweep
Ref Position;100.000000;%
Level Range;100.000000;dB
x-Axis;LIN;
y-Axis;LOG;
x-Unit;Hz;
y-Unit;dBm;
3626373626.3736333847;-51.939304351806640625;
3646353646.3536534309;-81.19646453857421875;
3666333666.3336734772;-80.466278076171875;
3686313686.3136935234;-81.79055023193359375;
3706293706.2937135696;-80.9856719970703125;
3726273726.2737336159;-80.57741546630859375;
3746253746.2537536621;-81.06360626220703125;
3766233766.2337737083;-82.11407470703125;
3786213786.2137937546;-80.72845458984375;
3806193806.1938138008;-80.15087890625;
3826173826.173833847;-78.23763275146484375;
3846153846.1538538933;-79.5297698974609375;
3866133866.1338739395;-81.3208465576171875;
3886113886.1138939857;-80.955596923828125;
3906093906.093914032;-79.11865234375;
3926073926.0739340782;-81.61042022705078125;
3946053946.0539541245;-80.48883056640625;
3966033966.0339741707;-80.74655914306640625;
3986013986.0139942169;-78.1933135986328125;
4005994005.9940142632;-74.70257568359375;
4025974025.9740343094;-81.37115478515625;
4045954045.9540543556;-81.90404510498046875;
4065934065.9340744019;-81.416168212890625;
4085914085.9140944481;-80.34722900390625;
4105894105.8941144943;-81.275634765625;
4125874125.8741345406;-81.476348876953125;
4145854145.8541545868;-80.03752899169921875;
4165834165.834174633;-79.676666259765625;
4185814185.8141946793;-81.662689208984375;
4205794205.7942147255;-77.38510894775390625;
4225774225.7742347717;-60.5257568359375;
4245754245.754254818;-82.57407379150390625;
4265734265.7342748642;-79.22978973388671875;
4285714285.7142949104;-82.07952117919921875;
4305694305.6943149567;-79.5558013916015625;
4325674325.6743345261;-81.1226043701171875;
4345654345.6543540955;-80.566162109375;
4365634365.6343736649;-79.41303253173828125;
4385614385.6143932343;-80.84161376953125;
4405594405.5944128036;-80.26323699951171875;
4425574425.574432373;-80.99593353271484375;
4445554445.5544519424;-80.93618011474609375;
4465534465.5344715118;-81.06522369384765625;
4485514485.5144910812;-80.9454498291015625;
4505494505.4945106506;-81.95592498779296875;
4525474525.47453022;-80.42498016357421875;
4545454545.4545497894;-80.5634002685546875;
4565434565.4345693588;-78.459869384765625;
4585414585.4145889282;-80.45770263671875;
4605394605.3946084976;-51.27938079833984375;
4625374625.374628067;-79.7215728759765625;
4645354645.3546476364;-80.40375518798828125;
4665334665.3346672058;-79.97029876708984375;
4685314685.3146867752;-79.65831756591796875;
4705294705.2947063446;-82.19950103759765625;
4725274725.274725914;-80.75817108154296875;
4745254745.2547454834;-82.17050933837890625;
4765234765.2347650528;-81.68582916259765625;
4785214785.2147846222;-80.1258392333984375;
4805194805.1948041916;-81.7950439453125;
4825174825.174823761;-80.9384307861328125;
4845154845.1548433304;-79.10535430908203125;
4865134865.1348628998;-80.90814971923828125;
4885114885.1148824692;-79.27790069580078125;
4905094905.0949020386;-82.54749298095703125;
4925074925.074921608;-80.8019256591796875;
4945054945.0549411774;-81.998443603515625;
4965034965.0349607468;-48.48423004150390625;
4985014985.0149803162;-81.51345062255859375;
5004995004.9949998856;-81.0806121826171875;
5024975024.975019455;-81.68035125732421875;
5044955044.9550390244;-81.10190582275390625;
5064935064.9350585938;-81.39498138427734375;
5084915084.9150781631;-81.54900360107421875;
5104895104.8950977325;-81.51220703125;
5124875124.8751173019;-80.68390655517578125;
5144855144.8551368713;-81.4371337890625;
5164835164.8351564407;-81.83077239990234375;
